,country,date,model,precede,preValue
42808,4,2020-10-25,l2,8,869191.5987924231
42692,4,2020-10-25,l2,12,943477.13737426
42721,4,2020-10-25,l2,11,920638.8722775108
42431,4,2020-10-25,l2,21,796523.9337549832
42750,4,2020-10-25,l2,10,910245.5340850664
244079,4,2020-10-25,sjka,5,847933.0
130061,4,2020-10-25,l3,17,874837.0663799683
42199,4,2020-10-25,l2,29,684575.1581138177
130032,4,2020-10-25,l3,18,864331.9781078873
130119,4,2020-10-25,l3,15,855737.7901605184
130090,4,2020-10-25,l3,16,866924.8475687033
129916,4,2020-10-25,l3,22,651852.3250763963
42257,4,2020-10-25,l2,27,685760.3633561506
129945,4,2020-10-25,l3,21,672996.0013229457
129974,4,2020-10-25,l3,20,746098.4719106387
130003,4,2020-10-25,l3,19,812567.589439173
42228,4,2020-10-25,l2,28,686420.410423677
130235,4,2020-10-25,l3,11,864130.0217651284
130264,4,2020-10-25,l3,10,866247.3255740181
130148,4,2020-10-25,l3,14,862364.5067632799
130177,4,2020-10-25,l3,13,876473.9836243016
130206,4,2020-10-25,l3,12,871192.1577227595
42286,4,2020-10-25,l2,26,677795.2230931746
243934,4,2020-10-25,sjka,10,836718.0
243905,4,2020-10-25,sjka,11,829528.0
244050,4,2020-10-25,sjka,6,844630.0
244021,4,2020-10-25,sjka,7,844446.0
243992,4,2020-10-25,sjka,8,840755.0
243963,4,2020-10-25,sjka,9,844781.0
129800,4,2020-10-25,l3,26,651518.0829437932
42315,4,2020-10-25,l2,25,679705.6649770208
129829,4,2020-10-25,l3,25,648670.9478774224
129858,4,2020-10-25,l3,24,649178.5867520927
129887,4,2020-10-25,l3,23,650371.9109636537
42402,4,2020-10-25,l2,22,679839.9324611314
129713,4,2020-10-25,l3,29,627233.2327251458
42373,4,2020-10-25,l2,23,680353.9694881701
129742,4,2020-10-25,l3,28,644286.7086807379
129771,4,2020-10-25,l3,27,655816.4670021523
42344,4,2020-10-25,l2,24,680647.3630322757
244137,4,2020-10-25,sjka,3,873056.0
243789,4,2020-10-25,sjka,15,902092.0
243528,4,2020-10-25,sjka,24,696158.0
243615,4,2020-10-25,sjka,21,729112.0
243499,4,2020-10-25,sjka,25,691163.0
243760,4,2020-10-25,sjka,16,896469.0
243818,4,2020-10-25,sjka,14,913723.0
243586,4,2020-10-25,sjka,22,634393.0
243383,4,2020-10-25,sjka,29,652791.0
243470,4,2020-10-25,sjka,26,669114.0
243441,4,2020-10-25,sjka,27,646322.0
243412,4,2020-10-25,sjka,28,652425.0
243644,4,2020-10-25,sjka,20,120601.0
243673,4,2020-10-25,sjka,19,711205.0
243702,4,2020-10-25,sjka,18,740056.0
243731,4,2020-10-25,sjka,17,862420.0
243557,4,2020-10-25,sjka,23,646210.0
243847,4,2020-10-25,sjka,13,934173.0
243876,4,2020-10-25,sjka,12,833796.0
42838,4,2020-10-26,l2,8,880998.5677196614
244109,4,2020-10-26,sjka,5,876600.0
244080,4,2020-10-26,sjka,6,865403.0
42867,4,2020-10-26,l2,7,877011.8098534
243645,4,2020-10-26,sjka,21,121603.0
244138,4,2020-10-26,sjka,4,893960.0
42896,4,2020-10-26,l2,6,879959.7019979799
43012,4,2020-10-26,l2,2,898108.387969547
42983,4,2020-10-26,l2,3,898455.5468310202
243616,4,2020-10-26,sjka,22,744460.0
243558,4,2020-10-26,sjka,24,654620.0
43070,4,2020-10-26,l2,0,900067.5556612205
243587,4,2020-10-26,sjka,23,641800.0
244196,4,2020-10-26,sjka,2,895685.0
42925,4,2020-10-26,l2,5,888394.7924043935
244167,4,2020-10-26,sjka,3,894744.0
244254,4,2020-10-26,sjka,0,898296.0
42954,4,2020-10-26,l2,4,896172.7376131268
244225,4,2020-10-26,sjka,1,899830.0
43041,4,2020-10-26,l2,1,901031.0237402908
42664,4,2020-10-26,l2,14,1040793.1252416236
42345,4,2020-10-26,l2,25,691813.2126257885
243848,4,2020-10-26,sjka,14,965608.0
243877,4,2020-10-26,sjka,13,851036.0
42316,4,2020-10-26,l2,26,690852.9565260236
42432,4,2020-10-26,l2,22,817100.4637350254
42403,4,2020-10-26,l2,23,690990.1473410756
42374,4,2020-10-26,l2,24,691514.1718272406
42722,4,2020-10-26,l2,12,951624.887766673
243703,4,2020-10-26,sjka,19,750916.0
42693,4,2020-10-26,l2,13,977812.7874462588
243732,4,2020-10-26,sjka,18,885159.0
243674,4,2020-10-26,sjka,20,720601.0
42809,4,2020-10-26,l2,9,890903.2031930867
42780,4,2020-10-26,l2,10,908679.5864917
42751,4,2020-10-26,l2,11,939029.8624124124
42258,4,2020-10-26,l2,28,697016.8055032785
42519,4,2020-10-26,l2,19,1113709.9602733753
42287,4,2020-10-26,l2,27,688905.3598625931
42461,4,2020-10-26,l2,21,1113580.9360799217
243819,4,2020-10-26,sjka,15,940869.0
42490,4,2020-10-26,l2,20,1105695.6699031438
42635,4,2020-10-26,l2,15,1082682.2985376143
42606,4,2020-10-26,l2,16,1100410.6011101024
42229,4,2020-10-26,l2,29,697685.8908316289
243761,4,2020-10-26,sjka,17,921860.0
42577,4,2020-10-26,l2,17,1123785.6441434063
243790,4,2020-10-26,sjka,16,928012.0
42548,4,2020-10-26,l2,18,1110673.2580405134
243413,4,2020-10-26,sjka,29,661703.0
243442,4,2020-10-26,sjka,28,655122.0
243471,4,2020-10-26,sjka,27,680347.0
187503,4,2020-10-26,lanl,29,750258.698040805
187556,4,2020-10-26,lanl,22,1948520.75327727
187530,4,2020-10-26,lanl,26,790651.893671316
243500,4,2020-10-26,sjka,26,703888.0
130584,4,2020-10-26,l3,0,901920.9144448627
187689,4,2020-10-26,lanl,5,1028425.80618395
130497,4,2020-10-26,l3,3,898713.9973796299
187715,4,2020-10-26,lanl,1,930830.146573222
130468,4,2020-10-26,l3,4,895039.9916933905
243529,4,2020-10-26,sjka,25,709135.0
130555,4,2020-10-26,l3,1,902521.0663091608
187583,4,2020-10-26,lanl,19,1089430.69087156
187662,4,2020-10-26,lanl,8,966925.595893197
130526,4,2020-10-26,l3,2,900759.3989238192
187609,4,2020-10-26,lanl,15,965374.286922662
187636,4,2020-10-26,lanl,12,1073625.01191185
129946,4,2020-10-26,l3,22,683492.1374728755
129917,4,2020-10-26,l3,23,661233.0358129018
129859,4,2020-10-26,l3,25,658431.6045371796
129888,4,2020-10-26,l3,24,659681.2364125662
129975,4,2020-10-26,l3,21,760798.0445648842
130091,4,2020-10-26,l3,17,889541.9739266657
130062,4,2020-10-26,l3,18,898163.9040952015
130004,4,2020-10-26,l3,20,831533.2018377726
130033,4,2020-10-26,l3,19,886921.6389349515
129830,4,2020-10-26,l3,26,657900.2312632233
243964,4,2020-10-26,sjka,10,861726.0
243993,4,2020-10-26,sjka,9,857222.0
244051,4,2020-10-26,sjka,7,861908.0
244022,4,2020-10-26,sjka,8,861737.0
243935,4,2020-10-26,sjka,11,853052.0
129801,4,2020-10-26,l3,27,660879.5901831599
129772,4,2020-10-26,l3,28,665360.0325165498
129743,4,2020-10-26,l3,29,653286.0586690755
243906,4,2020-10-26,sjka,12,845733.0
130352,4,2020-10-26,l3,8,893203.065657934
130120,4,2020-10-26,l3,16,877409.5242306794
130294,4,2020-10-26,l3,10,893346.8740276141
130323,4,2020-10-26,l3,9,894755.3967163232
130439,4,2020-10-26,l3,5,889939.1483973559
130381,4,2020-10-26,l3,7,891071.2557362032
130410,4,2020-10-26,l3,6,890005.771192323
130178,4,2020-10-26,l3,14,899765.0731192286
130149,4,2020-10-26,l3,15,884494.9501350124
130236,4,2020-10-26,l3,12,886240.4841811608
130207,4,2020-10-26,l3,13,893960.1068834589
130265,4,2020-10-26,l3,11,888500.2573898382
42926,4,2020-10-27,l2,6,910287.7536922956
42955,4,2020-10-27,l2,5,917855.2415243164
243617,4,2020-10-27,sjka,23,760192.0
187584,4,2020-10-27,lanl,20,1117346.73698919
42984,4,2020-10-27,l2,4,920525.8517435564
243530,4,2020-10-27,sjka,26,722356.0
243501,4,2020-10-27,sjka,27,716852.0
130614,4,2020-10-27,l3,0,924720.0126612056
243646,4,2020-10-27,sjka,22,122598.0
187557,4,2020-10-27,lanl,23,2045183.93057519
42897,4,2020-10-27,l2,7,900582.5538310392
130585,4,2020-10-27,l3,1,926238.5520041756
43013,4,2020-10-27,l2,3,920117.298369922
187663,4,2020-10-27,lanl,9,997322.865522795
244255,4,2020-10-27,sjka,1,920105.0
244226,4,2020-10-27,sjka,2,921736.0
244284,4,2020-10-27,sjka,0,919604.0
43042,4,2020-10-27,l2,2,923580.2459645942
243588,4,2020-10-27,sjka,24,649186.0
130556,4,2020-10-27,l3,2,926917.7037033896
130527,4,2020-10-27,l3,3,924876.7108759492
187610,4,2020-10-27,lanl,16,1000970.25881795
43071,4,2020-10-27,l2,1,923894.7223490672
187637,4,2020-10-27,lanl,13,1114136.61348837
43100,4,2020-10-27,l2,0,920451.1060061076
243559,4,2020-10-27,sjka,25,663041.0
42868,4,2020-10-27,l2,8,897206.188374266
42636,4,2020-10-27,l2,16,1129607.140220621
42665,4,2020-10-27,l2,15,1084071.696150036
243733,4,2020-10-27,sjka,19,908348.0
42694,4,2020-10-27,l2,14,1013843.3661518012
243791,4,2020-10-27,sjka,17,954478.0
42578,4,2020-10-27,l2,18,1173729.5966209031
42607,4,2020-10-27,l2,17,1148669.1658914243
243762,4,2020-10-27,sjka,18,947782.0
243704,4,2020-10-27,sjka,20,761715.0
243472,4,2020-10-27,sjka,28,691765.0
243675,4,2020-10-27,sjka,21,729932.0
42810,4,2020-10-27,l2,10,913039.8584926736
187531,4,2020-10-27,lanl,27,804807.609588452
42839,4,2020-10-27,l2,9,901757.3045461372
42781,4,2020-10-27,l2,11,933260.192806652
243443,4,2020-10-27,sjka,29,663957.0
42723,4,2020-10-27,l2,13,984007.8712104396
42752,4,2020-10-27,l2,12,968967.6850368918
187690,4,2020-10-27,lanl,6,1072063.62127458
244197,4,2020-10-27,sjka,3,916792.0
130034,4,2020-10-27,l3,20,910101.6895534464
130063,4,2020-10-27,l3,19,922112.7334688866
130353,4,2020-10-27,l3,9,916405.175384795
130092,4,2020-10-27,l3,18,912749.1565116792
129918,4,2020-10-27,l3,24,670748.7429750346
129947,4,2020-10-27,l3,23,694151.9727738575
129976,4,2020-10-27,l3,22,775787.2270284945
130005,4,2020-10-27,l3,21,850941.4782785134
130382,4,2020-10-27,l3,8,914069.2055087852
130237,4,2020-10-27,l3,13,908916.6861687128
130324,4,2020-10-27,l3,10,918103.5986211896
130295,4,2020-10-27,l3,11,916564.9024986384
130266,4,2020-10-27,l3,12,911324.8423118562
130121,4,2020-10-27,l3,17,899630.0993863089
130150,4,2020-10-27,l3,16,907193.3163746002
130179,4,2020-10-27,l3,15,923675.0912532082
130208,4,2020-10-27,l3,14,917323.07920224
244052,4,2020-10-27,sjka,8,879175.0
244023,4,2020-10-27,sjka,9,879024.0
243994,4,2020-10-27,sjka,10,873624.0
130469,4,2020-10-27,l3,5,918446.3011564336
244081,4,2020-10-27,sjka,7,882832.0
130498,4,2020-10-27,l3,4,922552.4091060942
244168,4,2020-10-27,sjka,4,915729.0
244139,4,2020-10-27,sjka,5,915173.0
244110,4,2020-10-27,sjka,6,895591.0
187716,4,2020-10-27,lanl,2,959123.079894985
243965,4,2020-10-27,sjka,11,878630.0
129773,4,2020-10-27,l3,29,675042.4778049547
129802,4,2020-10-27,l3,28,670375.6106771656
129831,4,2020-10-27,l3,27,667260.8287954251
129860,4,2020-10-27,l3,26,667816.5095099809
129889,4,2020-10-27,l3,25,669123.8141419858
130411,4,2020-10-27,l3,7,912899.7603635002
130440,4,2020-10-27,l3,6,912757.5523870424
243936,4,2020-10-27,sjka,12,869330.0
243907,4,2020-10-27,sjka,13,861907.0
42549,4,2020-10-27,l2,19,1159573.387068492
42259,4,2020-10-27,l2,29,708458.6415438296
42288,4,2020-10-27,l2,28,700200.33623761
42317,4,2020-10-27,l2,27,702185.070069979
42346,4,2020-10-27,l2,26,703163.8372978334
42375,4,2020-10-27,l2,25,702859.1542091942
42404,4,2020-10-27,l2,24,702325.1561630141
243849,4,2020-10-27,sjka,15,998147.0
42462,4,2020-10-27,l2,22,1162466.3080749025
243878,4,2020-10-27,sjka,14,868318.0
42433,4,2020-10-27,l2,23,838313.4920235572
243820,4,2020-10-27,sjka,16,968613.0
42520,4,2020-10-27,l2,20,1162707.7550013256
42491,4,2020-10-27,l2,21,1154033.211061877
243502,4,2020-10-28,sjka,28,730048.0
243531,4,2020-10-28,sjka,27,735814.0
243473,4,2020-10-28,sjka,29,703362.0
243879,4,2020-10-28,sjka,15,885611.0
243850,4,2020-10-28,sjka,16,1031778.0
243821,4,2020-10-28,sjka,17,996910.0
243792,4,2020-10-28,sjka,18,981450.0
243763,4,2020-10-28,sjka,19,974198.0
243647,4,2020-10-28,sjka,23,123587.0
243676,4,2020-10-28,sjka,22,739194.0
243734,4,2020-10-28,sjka,20,931956.0
243705,4,2020-10-28,sjka,21,772449.0
243618,4,2020-10-28,sjka,24,776310.0
243589,4,2020-10-28,sjka,25,656545.0
243560,4,2020-10-28,sjka,26,671464.0
42753,4,2020-10-28,l2,13,1000108.9043297012
130209,4,2020-10-28,l3,15,941296.6251600066
130180,4,2020-10-28,l3,16,948220.4852027585
42724,4,2020-10-28,l2,14,1017852.9867709614
130267,4,2020-10-28,l3,13,934735.765473542
130238,4,2020-10-28,l3,14,932173.103284956
42811,4,2020-10-28,l2,11,935606.2943462594
130064,4,2020-10-28,l3,20,946700.139416129
130035,4,2020-10-28,l3,21,933887.5600359387
130093,4,2020-10-28,l3,19,936561.7892489298
130151,4,2020-10-28,l3,17,930474.1798120008
130122,4,2020-10-28,l3,18,922413.4151398388
42782,4,2020-10-28,l2,12,958483.6640704696
130441,4,2020-10-28,l3,7,936161.0295938968
42637,4,2020-10-28,l2,17,1178982.4881006563
130412,4,2020-10-28,l3,8,936382.6611542774
187717,4,2020-10-28,lanl,3,988439.167903114
187744,4,2020-10-28,lanl,0,975030.09
42608,4,2020-10-28,l2,18,1199435.7064523727
130470,4,2020-10-28,l3,6,942464.7121208254
130383,4,2020-10-28,l3,9,937660.7168964886
42695,4,2020-10-28,l2,15,1051649.8938798916
130296,4,2020-10-28,l3,12,940386.3660537876
130325,4,2020-10-28,l3,11,942061.0603686804
42666,4,2020-10-28,l2,16,1129622.5598975192
130354,4,2020-10-28,l3,10,940209.9900468222
244111,4,2020-10-28,sjka,7,914632.0
244140,4,2020-10-28,sjka,6,936677.0
42956,4,2020-10-28,l2,6,939824.2605872644
42927,4,2020-10-28,l2,7,932594.1423064148
244024,4,2020-10-28,sjka,10,896289.0
244053,4,2020-10-28,sjka,9,896416.0
244082,4,2020-10-28,sjka,8,900225.0
244169,4,2020-10-28,sjka,5,936985.0
42985,4,2020-10-28,l2,5,942919.2931234234
43130,4,2020-10-28,l2,0,943817.3911028788
43101,4,2020-10-28,l2,1,943543.4398669528
43072,4,2020-10-28,l2,2,948338.6992420908
43043,4,2020-10-28,l2,3,946499.9807908096
244314,4,2020-10-28,sjka,0,943082.0
244198,4,2020-10-28,sjka,4,938179.0
244227,4,2020-10-28,sjka,3,943988.0
43014,4,2020-10-28,l2,4,942443.4263897102
244256,4,2020-10-28,sjka,2,942250.0
244285,4,2020-10-28,sjka,1,941809.0
129861,4,2020-10-28,l3,27,677335.181514531
42869,4,2020-10-28,l2,9,917666.2253184128
129832,4,2020-10-28,l3,28,676754.6088103135
129890,4,2020-10-28,l3,26,678701.551504959
129919,4,2020-10-28,l3,25,680401.3892764589
130006,4,2020-10-28,l3,22,870802.7506953229
129977,4,2020-10-28,l3,23,791071.7251708611
129948,4,2020-10-28,l3,24,704978.0602998673
42840,4,2020-10-28,l2,10,922828.9369561232
243937,4,2020-10-28,sjka,13,885533.0
243966,4,2020-10-28,sjka,12,895472.0
243995,4,2020-10-28,sjka,11,889940.0
243908,4,2020-10-28,sjka,14,878029.0
129803,4,2020-10-28,l3,29,680008.0772145382
42898,4,2020-10-28,l2,8,921507.3350675824
42579,4,2020-10-28,l2,19,1226251.2283938075
42434,4,2020-10-28,l2,24,860176.6943672904
42405,4,2020-10-28,l2,25,713847.7577870034
42550,4,2020-10-28,l2,20,1211007.3268023897
42521,4,2020-10-28,l2,21,1214242.4012173882
130528,4,2020-10-28,l3,4,949639.7499073582
130557,4,2020-10-28,l3,3,951973.8225638906
42289,4,2020-10-28,l2,29,711682.8796101072
187585,4,2020-10-28,lanl,21,1150524.42411146
187638,4,2020-10-28,lanl,14,1155896.60493929
42492,4,2020-10-28,l2,22,1204878.5013403248
130644,4,2020-10-28,l3,0,946654.9526806248
187611,4,2020-10-28,lanl,17,1022737.66458992
42318,4,2020-10-28,l2,28,713704.7975875146
187532,4,2020-10-28,lanl,28,819229.907509793
130615,4,2020-10-28,l3,1,949476.49238126
187558,4,2020-10-28,lanl,24,2163428.18493803
187691,4,2020-10-28,lanl,7,1124352.67134203
130499,4,2020-10-28,l3,5,947023.135312241
42376,4,2020-10-28,l2,26,714391.734772888
130586,4,2020-10-28,l3,2,951211.8429439513
42463,4,2020-10-28,l2,23,1213882.869856559
42347,4,2020-10-28,l2,27,714702.0661062472
187664,4,2020-10-28,lanl,10,1031985.3327325
243793,4,2020-10-29,sjka,19,1008885.0
42928,4,2020-10-29,l2,8,955317.9217473392
42638,4,2020-10-29,l2,18,1230916.213485872
42957,4,2020-10-29,l2,7,962075.2973790404
243880,4,2020-10-29,sjka,16,902894.0
243619,4,2020-10-29,sjka,25,792816.0
243561,4,2020-10-29,sjka,27,679882.0
243764,4,2020-10-29,sjka,20,1001068.0
43015,4,2020-10-29,l2,5,965083.67390377
42522,4,2020-10-29,l2,22,1268425.344758959
42986,4,2020-10-29,l2,6,965633.0515877794
42609,4,2020-10-29,l2,19,1252820.0269239354
42551,4,2020-10-29,l2,21,1265086.093823824
243590,4,2020-10-29,sjka,26,663873.0
42580,4,2020-10-29,l2,20,1281462.867995517
42841,4,2020-10-29,l2,11,944212.6539397256
42464,4,2020-10-29,l2,24,1267942.1224135463
42435,4,2020-10-29,l2,25,882704.2782568157
42754,4,2020-10-29,l2,14,1032505.6853063812
42812,4,2020-10-29,l2,12,958607.1919601676
243677,4,2020-10-29,sjka,23,748381.0
42783,4,2020-10-29,l2,13,984366.191527164
42725,4,2020-10-29,l2,15,1053228.4952318396
42899,4,2020-10-29,l2,9,942732.7660503932
42667,4,2020-10-29,l2,17,1177548.5596324794
42493,4,2020-10-29,l2,23,1258342.1583286652
243851,4,2020-10-29,sjka,17,1066483.0
243735,4,2020-10-29,sjka,21,955951.0
42696,4,2020-10-29,l2,16,1091317.2133440136
243822,4,2020-10-29,sjka,18,1025713.0
243648,4,2020-10-29,sjka,24,124568.0
42870,4,2020-10-29,l2,10,938389.1040723958
243706,4,2020-10-29,sjka,22,783112.0
129978,4,2020-10-29,l3,24,806657.3572779606
130674,4,2020-10-29,l3,0,968768.7620156443
130645,4,2020-10-29,l3,1,971311.6314448972
187533,4,2020-10-29,lanl,29,833493.548466246
130616,4,2020-10-29,l3,2,974895.7492443812
187559,4,2020-10-29,lanl,25,2265574.68784648
130587,4,2020-10-29,l3,3,976858.4650239738
243503,4,2020-10-29,sjka,29,743468.0
187586,4,2020-10-29,lanl,22,1178208.41297431
130558,4,2020-10-29,l3,4,977707.2497656284
187718,4,2020-10-29,lanl,4,1019802.67348231
187745,4,2020-10-29,lanl,1,1001638.84
130471,4,2020-10-29,l3,7,967111.2317340644
130442,4,2020-10-29,l3,8,960164.58153466
130500,4,2020-10-29,l3,6,972142.948155788
243532,4,2020-10-29,sjka,28,749502.0
187612,4,2020-10-29,lanl,18,1056522.87153394
130529,4,2020-10-29,l3,5,975065.8049871384
187665,4,2020-10-29,lanl,11,1068159.41520892
187692,4,2020-10-29,lanl,8,1175453.87097332
187639,4,2020-10-29,lanl,15,1198449.6213334
130413,4,2020-10-29,l3,9,960469.6223835476
243909,4,2020-10-29,sjka,15,894075.0
243938,4,2020-10-29,sjka,14,901641.0
243967,4,2020-10-29,sjka,13,912232.0
243996,4,2020-10-29,sjka,12,906156.0
129920,4,2020-10-29,l3,26,690192.9453881457
129891,4,2020-10-29,l3,27,688416.3831560971
244025,4,2020-10-29,sjka,11,913518.0
129862,4,2020-10-29,l3,28,686989.5271890786
129833,4,2020-10-29,l3,29,686383.4662268439
43160,4,2020-10-29,l2,0,969415.5654848212
244257,4,2020-10-29,sjka,3,964714.0
244286,4,2020-10-29,sjka,2,964338.0
244315,4,2020-10-29,sjka,1,965839.0
244228,4,2020-10-29,sjka,4,966567.0
244344,4,2020-10-29,sjka,0,968400.0
43131,4,2020-10-29,l2,1,967357.1704538956
43102,4,2020-10-29,l2,2,967016.5361775483
43073,4,2020-10-29,l2,3,973415.0588422604
43044,4,2020-10-29,l2,4,969789.7301858544
244054,4,2020-10-29,sjka,10,913616.0
244083,4,2020-10-29,sjka,9,917565.0
244199,4,2020-10-29,sjka,5,959824.0
244112,4,2020-10-29,sjka,8,933722.0
244141,4,2020-10-29,sjka,7,958452.0
244170,4,2020-10-29,sjka,6,958490.0
129949,4,2020-10-29,l3,25,715972.9929429666
130297,4,2020-10-29,l3,13,964826.9479325408
130268,4,2020-10-29,l3,14,958748.0892531368
130239,4,2020-10-29,l3,15,956024.5814725988
130384,4,2020-10-29,l3,10,961861.1093253676
130355,4,2020-10-29,l3,11,964633.1656875024
130326,4,2020-10-29,l3,12,966643.6802946648
130065,4,2020-10-29,l3,21,971943.1490756638
130036,4,2020-10-29,l3,22,958295.0837260934
130007,4,2020-10-29,l3,23,891127.592173089
130210,4,2020-10-29,l3,16,965896.7016377392
130181,4,2020-10-29,l3,17,973418.1392054708
130094,4,2020-10-29,l3,20,960995.6676743688
130152,4,2020-10-29,l3,18,954352.4887911552
130123,4,2020-10-29,l3,19,945773.7230116876
42348,4,2020-10-29,l2,28,726430.8037286132
42377,4,2020-10-29,l2,27,726114.8082487538
42406,4,2020-10-29,l2,26,725560.8293231886
42319,4,2020-10-29,l2,29,725415.0097764698
187719,4,2020-10-30,lanl,5,1051553.05586208
187746,4,2020-10-30,lanl,2,1030868.49
187640,4,2020-10-30,lanl,16,1243358.33638529
187613,4,2020-10-30,lanl,19,1084782.07863957
